Numéro enregistrement,Numéro battement,Amplitude 1,Amplitude 2,Amplitude 3,Amplitude 4,Amplitude 5,Centre 1,Centre 2,Centre 3,Centre 4,Centre 5,Ecart-type 1,Ecart-type 2,Ecart-type 3,Ecart-type 4,Ecart-type 5,Période interpics
265,8350,0.0427872678752739,-0.0826376810670129,0.4711763747789465,-0.3997622255574573,-0.208082133707419,-2.128553684705492,0.910181019747371,1.3951284905269603,1.820029149114856,2.3929159104684743,0.0048201356389197,0.0010137441393231,0.071344882730701,0.0776038607188518,0.0456845522304396,1.186
265,8351,0.0141380410078252,-0.0288062852049152,0.6043578883289759,0.050638769996088,0.0558432835672252,-3.141588890884281,-3.141592653589786,-1.5334428873685295,-0.4661718123091996,1.668545213134627,0.0102202808091211,0.001,0.1734314960073988,0.0010005916831746,0.0044728746258046,0.476
265,8352,-0.1344526861157908,-0.0108862587673057,0.4692143338795652,-0.3454153414874724,0.0585536477213385,-3.141648953283056,1.0830756559848562,1.5006110885477464,1.917708434207973,2.6840606791247126,0.0071712785729015,0.0010486607042923,0.0897624950268902,0.0708467758258326,0.0038589114569995,1.384
265,8353,-0.0350705908061889,-0.0477670739748949,0.5503342420905977,0.079821764045174,0.0936137703805103,-3.141670384011895,-3.141592653589773,-1.6820519677014174,-0.7173709624655635,2.510818048293883,0.0037846586202244,0.001,0.168956905450954,0.0011470074278663,0.0252868294451893,0.484
265,8354,0.0529724591292178,-0.0696125663439892,0.4499055564009667,-0.3630897682077599,-0.0782201579315159,-0.006303257116259,1.3264506254356732,1.7588718844148672,2.1511259727210765,2.621316000113332,0.012222352790751,0.0007363975251483,0.0647289390591662,0.0732024428114199,0.0229474861431388,1.548
265,8355,-0.1194880039842171,0.079505272224981,0.5750747046406919,0.0360105528880153,0.1048167342957116,-3.14164518145996,-2.73519941044304,-1.4216497978402938,-0.0541653905761658,2.640349400612647,0.0112138637669918,0.0037137623108373,0.1763375544099425,0.0010000029692463,0.0038057699013539,0.432
265,8356,0.081964226954184,-0.0257216403820344,0.4842805023300832,-0.16454278519521,-0.2424669688743722,-0.2042100436827365,0.9549912370192352,1.5220529309456172,1.9299492232770925,1.9301405022667872,0.0141927537665908,0.0010668233381476,0.0870362578194648,-0.0046747289195191,0.0606421422497086,1.424
265,8357,-0.1324492947635331,0.0149125068209229,0.5191120384608777,0.0197391552502492,0.0512709152501097,-3.14164113145796,-2.7124970716480954,-1.317701507562118,-0.0612993688505283,2.712441059101073,0.0038294722827691,-0.0001379829057689,0.1300437719833407,0.0010000000135169,0.0045705155874678,0.484
265,8359,-0.0711697478393196,-0.0853752495332924,-0.0819333885446174,0.0805664495668639,0.0211277132292093,-3.141593791187272,-1.2566370614359172,-0.235619449019235,1.7278759594743862,3.1023488500798075,0.0097684167270354,0.001,0.001,0.001,0.0111592600569973,0.396
265,8361,-0.0048318464950532,-0.0201885935925578,0.2731769679151917,-0.225915515186209,-0.1237096838522466,-1.8770799190953185,0.2371013323463987,0.9681637737399466,1.6587503739264071,-0.1185076212778911,0.012263086947115,0.001,0.0010000157391183,0.0065616638361122,0.0349549484007613,0.932
265,8362,-0.1337845331976113,-0.0278445440440269,0.2814269795079193,0.0028087287703404,-0.0635475508958005,-3.141607834839909,-1.7721804707878226,0.1611073155687069,2.2018001571690364,2.20166554123336,0.007001969263187,0.0010003776421675,0.001,0.0009529783180907,0.0084416833508221,0.428
265,8363,-0.084378666064153,-0.0509161790813572,-0.027921368612376,-0.0626142286079379,-0.1770952366962398,-3.141374585965424,-0.8434626190571821,-0.3056023982091238,0.354498781922584,0.696899400713848,0.0262426035158515,0.0010000000000034,0.001,0.001,0.0515887549496431,0.508
265,8364,0.0837907494250418,-0.0064345109382344,0.2705539999442534,-0.2436096131406468,-0.3575420936115981,-2.740994953235449,-0.7134294073889174,0.0876141377495161,0.8636250721023737,0.8637327999612953,0.0064241601616947,0.001,0.001,0.0009999999999965,0.1098377730106019,0.52
265,8365,0.0664816869498333,0.3809556303157019,0.4713501800316471,0.0716765928120506,0.111188541999155,-2.8731056763699447,-1.7596428669635795,-1.5428728956170574,-0.496747554321766,2.3894375286079623,0.0158197762563653,0.0885502158477308,0.0830367220829877,0.0010013615001626,0.0041517103759676,0.484
265,8366,-0.1294274339383505,-0.0271674484856806,0.4599688361312081,-0.13623520885475,-0.2366155649460563,0.19907189009186,1.033940848537196,1.4718312721321627,1.8695535055274848,1.8686282867042567,0.0322539065087463,0.0012051595913918,0.0891418745590154,0.0006481846450402,0.0558891344222341,1.388
265,8367,0.350827660873558,-0.3273953407300662,0.0493655524139823,-0.4836214220287702,-0.3271930776049804,-2.476739812544974,1.7421814238587483,1.933903286422707,2.105397029925263,2.6627161238464105,0.0967592664968303,0.0851760698597066,9.007827346429926e-05,0.0785673492854345,0.1032656431563358,0.508
265,8368,-0.4570665365335347,0.1409348874924576,-0.388960668583567,0.008010753324967,0.027762127534476,-2.6782595975930774,0.4127039312657838,0.5398213169567182,0.9559663036598808,0.9559741547186666,0.1350147038735147,0.0261955859805474,0.0678039988318409,0.0003173876297117,0.0107464897253325,4.216
265,8369,0.117771256892039,0.0013841593562848,0.4971764761681332,-0.2298237124936857,-0.0874595738585425,0.160664980606837,1.2688271053211004,1.7348715283628593,2.0772853338585406,2.6651267407679766,0.0298874400566262,0.0009147832467141,0.0695159013235764,0.0536592746757787,0.0242132243580589,1.752
265,8370,-0.0856801572593329,-0.0473910364498346,0.4425655133869936,0.3454001820370391,0.0656011491981831,-3.141405800664949,-3.141592653589759,-1.7840678223084745,-1.6193135545144433,2.393445864388422,0.0198893507421253,0.001,0.0715766299971648,0.0607043291538022,0.0037550727914063,0.516
