Pic P Amplitude,Pic Q Amplitude,Pic R Amplitude,Pic S Amplitude,Pic T Amplitude,Pic P Centre,Pic Q Centre,Pic R Centre,Pic S Centre,Pic T Centre,Pic P Ecart-type,Pic Q Ecart-type,Pic R Ecart-type,Pic S Ecart-type,Pic T Ecart-type
24.0,-10.0,120.0,-14.0,-4.0,-1.3327968833411241,-0.4240717356085395,-0.09519977738150898,0.19905407997951885,0.46734436169104354,0.21817337746729437,0.9645714987402755,-0.4394840367288012,0.6396377231088216,0.32272282922538986
-2.0,-15.0,106.0,-15.0,42.0,-1.0596790476351745,-0.24338918055224879,0.04118893824730385,0.2958114655942716,1.7561465489077621,-0.010780629801455463,0.9875637149602492,0.450700211212958,0.6135368720873181,0.4331495533605366
0.0,-24.0,126.0,-21.0,37.0,-1.097847976889299,-0.2773110806675394,0.01139634578085813,0.269713516813634,1.7436409044712393,0.09999999999999862,0.7518342758008728,0.41835841866315204,0.6469883630154726,0.32779251874405657
48.0,13.0,155.0,1.0,51.0,-1.0816622807296503,-0.17497478070626693,0.1113475877221699,0.38971655702759467,1.8929089912768884,0.518118756314513,-0.018792288587123174,-0.7835832005158507,-1.4762496780562628e-15,0.5691707606658539
-7.0,-14.0,134.0,-5.0,41.0,-0.8032720171829322,-0.28177604791233746,0.029439288587855827,0.31542094915560126,1.938787434143098,0.1403593590074833,0.9121693174324847,-0.4363203930151811,0.765332766250252,0.7054019752085011
-14.0,-26.0,99.0,-29.0,-27.0,-1.3183726746469562,-1.2549061563926172,-1.029888500763596,-0.8394889460005786,-0.6202409738492243,0.37847787483132433,-0.3863784875879418,-0.3731025695542427,5.850216476481032,-0.20006604244462609
-61.0,-62.0,87.0,-49.0,10.0,0.6674445930703587,0.7940289124457718,1.0126745550033034,1.2025510340664223,2.4396250643261395,5.485893567472477,2.0412861233991055,-1.926725322022228,-0.06456421448815242,1.0262258745036719
-24.0,-18.0,127.0,-19.0,23.0,-0.6283185307179586,-0.3720307089777388,-0.057871443618759066,0.21495107629824917,1.8022821012699337,0.9759101566006214,0.46020237818293663,0.3126364029727696,0.6478554839196441,0.42287413965814336
7.0,-16.0,138.0,2.0,44.0,-1.1896916980859935,-0.31859540389421515,-0.004032853213850718,0.2702011653280052,1.8107510930190207,0.37613536080699683,0.9812628614528571,0.6635604569049272,-0.011728208574479768,0.34944314267280985
24.0,8.0,138.0,0.0,3.0,-1.2542480175928832,-0.3703017956702799,-0.07565305502941211,0.20306872665789522,0.48975398782198276,0.5038874639453702,0.0451335410325611,1.5578230250454002,0.09999999999999862,0.010361829328230938
-6.0,-10.0,131.0,-25.0,45.0,-1.2023379291516494,-0.341308831501113,-0.04654211338651537,0.22495354803482437,1.7065441575055669,0.025367204116042825,0.8909180116015726,0.5499282233237558,1.0330074164637808,0.2215124525595712
7.0,-7.0,138.0,0.0,39.0,-1.2775274473677163,-0.41780771863598254,-0.11248669347891838,0.17676480403830075,1.6631961107240079,0.25375595990297806,2.1194900060263735,0.6712545436097308,0.09999999999999862,-0.23473511249410672
25.0,6.0,147.0,-5.0,51.0,-1.2204748438406392,-0.3766897666174813,-0.07533795332349591,0.18834488330874066,1.627299791787519,-0.15801111212010044,-0.046103066213292736,-1.6856071470675695,1.815690519022104,0.14169372420253123
0.0,-3.0,134.0,-1.0,50.0,-0.6091219598617106,-0.2694903216357871,0.011074944724758229,0.2768736181189593,1.709233135854376,0.09999999999999862,1.708070256363691,0.10069851035123101,0.49777206863329504,-0.7634404737870689
-1.0,-3.0,124.0,-9.0,49.0,-0.589970451378365,-0.2949852256891825,-0.0073746306422295405,0.23598818055134574,1.659291894501651,0.5501775634016706,1.3095947896709004,0.06583804506686786,2.2834767200700057,0.81288454668049
-7.0,-10.0,0.0,-15.0,116.0,-1.5395884527526136,-1.2067044629682648,-0.3016761157420662,0.9154309719069591,1.310730709775874,0.4328466565395108,0.027703491547959,0.09999999999999862,2.289538839616332,0.5763556162174626
50.0,31.0,187.0,17.0,38.0,-1.2775090401195608,-0.47141882888919007,-0.19792393579317125,0.05397925521631919,0.2770935101104395,-0.29718196329602053,-0.013841951329432778,-0.03455897925104656,0.24609569038217602,-0.25946721347498536
-4.0,-6.0,140.0,-8.0,48.0,-0.6809031287823375,-0.2764062205948101,-0.006741615136458989,0.22247329950314,1.5168634057032264,2.175831511128111,2.6190658870248305,0.35108405683047295,1.81630125495793,-0.7965158856373172
29.0,9.0,157.0,2.0,10.0,-1.0290838638245483,-0.22755319761136894,0.0373594802048518,0.2615163614339613,0.49246587542758924,0.1108286652142908,0.04341708493471197,-0.0239000397014566,-0.006155592769994285,0.15737705532672178
-5.0,-5.0,134.0,-1.0,45.0,-0.4614002169419136,-0.28498248693471107,-0.020355891923907965,0.217129513855018,1.5199065969851269,1.8120909252819293,1.8035874819685795,-0.2524808797061515,0.5908698145430042,0.70571710543514
31.0,29.0,168.0,36.0,29.0,-0.7759147607658656,-0.1827710325359595,0.0862127511962072,0.3276084545455875,0.5138279971293955,0.3688472804680657,-0.10339850918783394,-1.4259733698844044,-0.20452569679552185,-0.11180689155088508
-8.0,-10.0,127.0,-9.0,45.0,-0.5624059824556413,-0.22567883372423836,0.05373305564862818,0.29015850050259173,1.7158755770461926,2.211036078299601,0.5803824940614092,0.5541840969445658,0.7621395669891754,0.4249230330013546
7.0,-13.0,97.0,-14.0,-9.0,-1.0154272637623953,-0.22361394617150232,0.05498703594381249,0.3042615988890933,0.49488332349430797,0.0394515309486664,1.1956253910410148,0.4252292644743556,0.7336524913684833,0.4092184473587238
37.0,-22.0,188.0,-34.0,14.0,-1.994957946196486,-1.1652791741801904,-0.8296787720162957,-0.45678943627863466,-0.11186680072129818,0.0019128920040915598,1.236453051032703,-0.21775050512801064,0.7685918649687751,-0.19058760929692037
3.0,-41.0,23.0,-14.0,116.0,-1.2198125321630697,-0.6559369276725944,0.18412264636423714,1.3118738553451887,1.714642144266957,1.5174773261163055,5.197324802277032,0.49827599929607513,1.7356516576066938,-0.7581100488865231
55.0,12.0,47.0,0.0,0.0,-1.27404639100241,0.1978332905283242,0.6726331877963037,0.8150731569766965,0.8783798099457609,1.083354922829861,0.02579107272276654,0.09171092782346056,0.09999999999999862,0.09999999999999862
3.0,-25.0,20.0,-11.0,0.0,-1.0035643198967392,-0.2617993877991496,-0.08726646259971638,0.0,2.8579766501407144,0.015474937468985645,3.1546067738488226,0.015292355680001883,2.0883100416593545,0.09999999999999862
47.0,-30.0,240.0,-28.0,75.0,-0.10833078115826877,0.34304747366785104,1.011087290810508,1.7152373683392543,2.780490049728897,-0.5902790482763876,3.018592363613952,0.3131192217965344,2.5024125959929813,-0.7815522154008018
-34.0,64.0,13.0,-11.0,-23.0,-1.9991953250116865,-1.3463968515384828,-0.7343982826573541,-0.5507987119930156,-0.36719914132867704,-0.02065333021110531,0.2425506231675946,0.0011748272027872,0.031203391970043952,0.00662282388240857
99.0,40.0,62.0,-4.0,-2.0,-1.8479956785822313,-0.9503977775565762,-0.8447980244947346,-0.6071985801055901,-0.29039932092006504,-0.11205954678480767,0.0724028426686221,-0.06342881071518117,0.31691735200084903,0.0015710157802771244
18.0,-28.0,244.0,-42.0,-23.0,-1.798018436960196,-0.039516888724399735,0.6717871083147986,1.4818833271649963,2.1141535467553956,1.2992136245826331,0.9161992621311783,-1.5875619872613647,1.8606341050967625,1.0859213495688982
5.0,-4.0,13.0,-74.0,-71.0,-2.222102120831805,-1.6665765906238537,-0.9194905327579885,2.1454779097686387,2.3753505429581363,1.363118218486504,0.06453157993526853,0.7761607681918633,1.8168676140041014,-0.3562358052026383
57.0,65.0,208.0,-29.0,94.0,-2.593395277795601,-1.9186908152796722,-0.4427748035260781,1.1596482949492524,2.298212075444882,0.04231223958276208,0.229346939463325,-1.495171930227778,4.446040160357379,-0.3068984486424866
105.0,68.0,120.0,55.0,73.0,-1.585207302270079,0.2593975585532857,0.8358365775605869,1.4122755965678886,1.6428512041708094,-0.23284147299340546,0.03160162271648534,0.10784749798491183,0.3844821926153859,0.33155036275773075
-119.0,-121.0,-58.0,-118.0,-127.0,-0.8367055811068296,-0.7104103990529684,-0.2999510573779198,-0.20522967083752386,0.8682793766202943,1.4474764123799049,1.9631720758015034,-0.7448858895932858,0.15456774176056465,-0.08830960170399171
-7.0,-14.0,72.0,-2.0,95.0,-2.537967864253763,-1.2209683238842428,0.1783436877583724,0.260656159031468,1.659968170674083,0.09999999955330172,0.09999999969814585,0.10000000410149287,0.09999993621967182,0.47975648399022075
32.0,-31.0,58.0,5.0,183.0,-2.213874017630391,-1.7640710426197719,-0.4427748035260781,0.9347468074439433,1.4267188113618072,0.08101284636241694,0.059682691392750925,-0.24264487715141392,0.04292085251982627,-0.3461476893824149
64.0,21.0,87.0,24.0,21.0,-1.4527182430039363,-0.1502811975521312,-0.007156247502482227,0.13596870254716675,0.4937810776712883,0.867687192410179,-0.25009387824057056,0.5349659254676581,0.09716477380685895,0.17596046368166818
-58.0,-57.0,18.0,-26.0,-42.0,-1.75001469965069,-1.665676641836199,-0.4146621175879144,0.3443804027425057,0.4427748035260781,-0.15571964694719176,-1.3840611153891174,-0.10671345608258336,-0.06359638299353806,0.4790914119798998
3.0,7.0,58.0,-39.0,-39.0,-2.660911810417584,-2.50640725368366,-1.0643647241670338,1.3218723187235746,1.3562066646644464,0.03959827001589939,0.30102915031296934,1.1518970352573972,-2.7802759182898305,0.10875242297820475
75.0,12.0,72.0,14.0,-10.0,-1.5299964222028213,-1.3259968992424451,-1.0811974716899937,-0.5099988074009403,-0.28559933214452693,-0.6491218217917393,0.043956077959690074,-0.3495756464996248,-0.06925661034896696,0.151108587559044
57.0,69.0,189.0,-14.0,3.0,-2.7094158864292925,-2.1110172857455227,-0.8809757176733282,0.4487989505128276,2.376972219382753,-0.1386419847952076,0.43040808457519697,-0.8429427987719711,0.9060092321024329,0.8763726237660437
12.0,-20.0,44.0,-48.0,57.0,0.6253755867801698,0.8019522230475116,0.9490994199369629,1.0668171774485247,2.4205713888314797,0.035828953316935565,1.092188223004007,-1.1018815960648864,1.8815446167038614,0.08249682090546093
0.0,0.0,74.0,33.0,184.0,-1.5312568311547503,-1.5025008343255533,-0.481662946889053,0.7836009135956234,1.2868308581065744,0.09999999999999862,0.09999999999999862,0.4468255281166179,0.13633526316817665,-1.0870005687162787
22.0,-22.0,37.0,-11.0,-4.0,-1.4386732712700923,-0.2642461110496086,-0.02936067900551187,-0.014680339502755935,0.19084441353582893,0.5738462694460921,-0.033219886046134746,0.036608871567990545,0.08211408690281725,0.35540159814198014
-31.0,-90.0,162.0,-62.0,17.0,-1.663196110724008,-0.8724258668655649,-0.5458033748370776,-0.21058555407099844,0.10744160921989687,2.3782527434568075,0.8818220021531418,-0.03951587946412749,-0.6394293238024473,0.44698906549446976
8.0,-34.0,184.0,-46.0,-6.0,-0.8363035999139496,-0.2545271825825064,0.021816615649929094,0.2981604138823646,0.516326570381656,0.33404623593993543,0.4663195062606377,-0.2761485104434428,0.3146082248154357,0.32132849247437056
-6.0,-90.0,203.0,-35.0,-10.0,-0.462320123992936,-0.25118179964970544,0.018201579684761438,0.32398811838875075,0.5860908658493122,0.23319408117814103,1.1834055461360826,0.4063489928285069,0.5042834406197145,0.4660043265188335
48.0,-62.0,163.0,-59.0,15.0,-0.9270273404035456,-0.24279287486759538,0.036786799222363165,0.3310811930012658,0.706306545069368,-0.5901692130454009,-0.6445830252902822,-0.20857818308810872,0.4537551589193275,1.3635195528664767
7.0,-35.0,17.0,-4.0,-7.0,-1.0278408496957363,-0.888472598889535,-0.7491043480833333,-0.6910342435807495,-0.5516659927745478,-0.33872757355572386,-0.30439083537032113,0.2779615439302736,0.006301572985796389,0.1713680999921022
41.0,14.0,68.0,-3.0,68.0,-0.7319122669653639,-0.41662698273413046,-0.23646396317342555,-0.03378056616763203,1.970533026445211,-0.04696708347965934,-0.018843355630907915,-0.007532554909596277,0.49907508897805297,0.3907095370226784
23.0,-9.0,42.0,-10.0,17.0,-0.505543645405254,-0.252771822702627,-0.10833078115826877,0.0,0.6860949473357021,0.001887641966425234,0.7382815459529994,-0.01414446434437767,0.9060756723186913,-0.006503852753291997
-30.0,-96.0,140.0,-62.0,-11.0,-1.7772438440307974,-0.9514537750871943,-0.6193425517077022,-0.2603033912974402,0.4487989505128276,2.238366816750059,-1.383152887263548,-0.8052819516962102,0.41170401795350275,0.480365311888447
